CSDUID,DGUID
1209037,2021A00051209037
1209038,2021A00051209038
1209800,2021A00051209800
1210001,2021A00051210001
1210002,2021A00051210002
1210003,2021A00051210003
1210006,2021A00051210006
1210008,2021A00051210008
1210012,2021A00051210012
1211001,2021A00051211001
1211006,2021A00051211006
1211009,2021A00051211009
1211011,2021A00051211011
1211012,2021A00051211012
1211014,2021A00051211014
1212001,2021A00051212001
1212004,2021A00051212004
1212006,2021A00051212006
1212008,2021A00051212008
1212009,2021A00051212009
1212011,2021A00051212011
1212014,2021A00051212014
1212016,2021A00051212016
1212019,2021A00051212019
1212023,2021A00051212023
1213001,2021A00051213001
1213004,2021A00051213004
1213008,2021A00051213008
1214001,2021A00051214001
1214002,2021A00051214002
1214006,2021A00051214006
1214010,2021A00051214010
1215001,2021A00051215001
1215002,2021A00051215002
1215005,2021A00051215005
1215006,2021A00051215006
1215008,2021A00051215008
1215011,2021A00051215011
1216001,2021A00051216001
1216006,2021A00051216006
1216011,2021A00051216011
1216014,2021A00051216014
1217008,2021A00051217008
1217020,2021A00051217020
1217030,2021A00051217030
1218001,2021A00051218001
1218003,2021A00051218003
1218006,2021A00051218006
1301001,2021A00051301001
1301002,2021A00051301002
1301004,2021A00051301004
1301006,2021A00051301006
1301016,2021A00051301016
1302001,2021A00051302001
1302004,2021A00051302004
1302006,2021A00051302006
1302008,2021A00051302008
1302011,2021A00051302011
1302012,2021A00051302012
1302014,2021A00051302014
1302016,2021A00051302016
1302018,2021A00051302018
1302021,2021A00051302021
1302024,2021A00051302024
1302026,2021A00051302026
1302028,2021A00051302028
1302031,2021A00051302031
1302034,2021A00051302034
1302037,2021A00051302037
1302039,2021A00051302039
1302042,2021A00051302042
1302044,2021A00051302044
1302052,2021A00051302052
1303001,2021A00051303001
1303004,2021A00051303004
1303005,2021A00051303005
1303006,2021A00051303006
1303008,2021A00051303008
1303011,2021A00051303011
1303012,2021A00051303012
1303013,2021A00051303013
1303014,2021A00051303014
1303016,2021A00051303016
1303018,2021A00051303018
1304001,2021A00051304001
1304004,2021A00051304004
1304005,2021A00051304005
1304006,2021A00051304006
1304008,2021A00051304008
1304011,2021A00051304011
1304013,2021A00051304013
1304014,2021A00051304014
1304016,2021A00051304016
1304018,2021A00051304018
1304021,2021A00051304021
1304022,2021A00051304022
1304024,2021A00051304024
1304025,2021A00051304025
1305001,2021A00051305001
1305004,2021A00051305004
1305006,2021A00051305006
1305007,2021A00051305007
1305008,2021A00051305008
1305011,2021A00051305011
1305014,2021A00051305014
1305015,2021A00051305015
1305016,2021A00051305016
1305018,2021A00051305018
1305021,2021A00051305021
1305022,2021A00051305022
1305023,2021A00051305023
1305024,2021A00051305024
1305026,2021A00051305026
1305028,2021A00051305028
1305031,2021A00051305031
1305034,2021A00051305034
1305036,2021A00051305036
1305038,2021A00051305038
1305045,2021A00051305045
1305057,2021A00051305057
1306001,2021A00051306001
1306003,2021A00051306003
1306004,2021A00051306004
1306006,2021A00051306006
1306007,2021A00051306007
1306008,2021A00051306008
1306011,2021A00051306011
1306014,2021A00051306014
1306020,2021A00051306020
1306025,2021A00051306025
1307001,2021A00051307001
1307002,2021A00051307002
1307004,2021A00051307004
1307005,2021A00051307005
1307007,2021A00051307007
1307008,2021A00051307008
1307009,2021A00051307009
1307011,2021A00051307011
1307012,2021A00051307012
1307013,2021A00051307013
1307014,2021A00051307014
1307016,2021A00051307016
1307019,2021A00051307019
1307022,2021A00051307022
1307024,2021A00051307024
1307028,2021A00051307028
1307029,2021A00051307029
1307045,2021A00051307045
1307052,2021A00051307052
1308001,2021A00051308001
1308002,2021A00051308002
1308003,2021A00051308003
1308004,2021A00051308004
1308005,2021A00051308005
1308006,2021A00051308006
1308007,2021A00051308007
1308008,2021A00051308008
1308010,2021A00051308010
1308012,2021A00051308012
1308014,2021A00051308014
1308015,2021A00051308015
1308016,2021A00051308016
1308017,2021A00051308017
1308018,2021A00051308018
1308019,2021A00051308019
1308020,2021A00051308020
1308021,2021A00051308021
1308022,2021A00051308022
1308024,2021A00051308024
1308026,2021A00051308026
1309001,2021A00051309001
1309004,2021A00051309004
1309006,2021A00051309006
1309010,2021A00051309010
1309011,2021A00051309011
1309014,2021A00051309014
1309016,2021A00051309016
1309017,2021A00051309017
1309018,2021A00051309018
1309019,2021A00051309019
1309021,2021A00051309021
1309022,2021A00051309022
1309023,2021A00051309023
1309026,2021A00051309026
1309027,2021A00051309027
1309028,2021A00051309028
1309031,2021A00051309031
1309033,2021A00051309033
1309034,2021A00051309034
1309035,2021A00051309035
1309036,2021A00051309036
1309038,2021A00051309038
1309044,2021A00051309044
1309047,2021A00051309047
1309050,2021A00051309050
1310001,2021A00051310001
1310002,2021A00051310002
1310004,2021A00051310004
1310005,2021A00051310005
